,sna,tot,sbi,sarea,mday,ar,bemp,act
95,YouBike2.0_捷運忠孝新生站(4號出口),34,1,大安區,2023-05-27 13:56:15,忠孝新生路口北側,32,1
96,YouBike2.0_大安高工,23,0,大安區,2023-05-27 13:49:04,復興南路二段52號(前),21,1
97,YouBike2.0_捷運忠孝新生站(3號出口),23,2,大安區,2023-05-27 13:52:14,忠孝東路三段與10巷口,21,1
99,YouBike2.0_敦化市民路口,23,0,大安區,2023-05-27 13:42:04,敦化南路1段158號(前),20,1
100,YouBike2.0_捷運大安森林公園站(5號出口),15,2,大安區,2023-05-27 13:55:23,捷運大安森林公園站(5號出口)東側,13,1
102,YouBike2.0_東豐公園,19,0,大安區,2023-05-27 13:56:15,東豐街24號(旁公園路側),18,1
108,YouBike2.0_樂利路21巷口,17,2,大安區,2023-05-27 13:52:14,樂利路25號,15,1
109,YouBike2.0_捷運科技大樓站(台北教育大學),46,3,大安區,2023-05-27 13:56:15,和平東路二段134號前,43,1
111,YouBike2.0_仁愛醫院,30,1,大安區,2023-05-27 13:52:14,仁愛路四段/大安路一段口(西南側),29,1
115,YouBike2.0_捷運信義安和站(1號出口),33,1,大安區,2023-05-27 13:48:04,信義路四段225號前,31,1
116,YouBike2.0_敦化南路二段103巷口,24,3,大安區,2023-05-27 13:52:14,敦化南路二段99號前,21,1
117,YouBike2.0_復興南路二段128巷口,28,2,大安區,2023-05-27 13:57:14,復興南路二段142之1號前,26,1
119,YouBike2.0_芳蘭山莊,16,2,大安區,2023-05-27 13:42:14,基隆路三段155巷148號,14,1
124,YouBike2.0_臺北科技大學(電機工程系),16,2,大安區,2023-05-27 13:48:14,忠孝東路三段100號對側,14,1
126,YouBike2.0_新生南路三段94巷口,15,0,大安區,2023-05-27 13:57:04,新生南路三段94號前,14,1
127,YouBike2.0_辛亥新生路口西北側,12,2,大安區,2023-05-27 13:57:14,辛亥路一段/新生南路三段(西北側),9,1
128,YouBike2.0_捷運大安站(6號出口),19,1,大安區,2023-05-27 13:51:04,復興南路一段303號前,18,1
129,YouBike2.0_臥龍街195巷口,14,1,大安區,2023-05-27 13:21:04,臥龍街/臥龍街195巷(南側),12,1
130,YouBike2.0_辛亥路三段157巷口,19,0,大安區,2023-05-27 13:46:04,辛亥路三段與辛亥路三段157巷口西北側,19,1
131,YouBike2.0_臥龍基隆路口,16,0,大安區,2023-05-27 13:42:04,臥龍街與基隆路二段口東北側,16,1
132,YouBike2.0_敦親公園,20,2,大安區,2023-05-27 13:53:15,和平東路二段96巷8之1號(前方),18,1
135,YouBike2.0_基隆長興路口,43,2,大安區,2023-05-27 13:51:15,基隆路/長興街(東南側),41,1
140,YouBike2.0_和平新生路口西南側,13,1,大安區,2023-05-27 13:53:04,新生南路三段2號前,12,1
142,YouBike2.0_信義路三段134巷口,19,1,大安區,2023-05-27 13:57:14,信義路三段/信義路三段134巷口,18,1
144,YouBike2.0_臺北遠企購物中心,33,2,大安區,2023-05-27 13:51:04,敦化南路二段201號前,30,1
146,YouBike2.0_四維路170巷口,22,2,大安區,2023-05-27 13:55:23,敦化南路二段92號對側中央分隔島,20,1
147,YouBike2.0_捷運大安站(3號出口),44,1,大安區,2023-05-27 13:53:15,信義路三段184號前,42,1
148,YouBike2.0_捷運臺電大樓站(2號出口)_1,31,1,大安區,2023-05-27 13:51:15,羅斯福路三段201號旁,29,1
158,YouBike2.0_捷運大安站(5號出口),19,0,大安區,2023-05-27 13:45:04,復興南路二段/信義路四段(東南側),16,1
159,YouBike2.0_臨江公園,13,0,大安區,2023-05-27 13:52:04,通化街143巷33號對側,12,1
163,YouBike2.0_樂利路101巷口,13,3,大安區,2023-05-27 13:52:15,樂利路97號前,10,1
164,YouBike2.0_羅斯福浦城街口,15,3,大安區,2023-05-27 13:55:23,羅斯福路三段117號前,12,1
169,YouBike2.0_重慶酒泉街口,30,1,大同區,2023-05-27 13:55:11,重慶北路三段260號前,29,1
170,YouBike2.0_樹德公園,14,2,大同區,2023-05-27 13:55:23,大龍街85巷12號對側,12,1
181,YouBike2.0_大龍老人住宅,14,3,大同區,2023-05-27 13:55:23,民族西路82號前方,11,1
183,YouBike2.0_捷運大橋頭站(2號出口),57,3,大同區,2023-05-27 13:57:14,捷運大橋頭站(2號出口)西側,54,1
184,YouBike2.0_捷運大橋頭站(1A出口),18,0,大同區,2023-05-27 13:36:04,民權西路237號旁,16,1
185,YouBike2.0_捷運民權西路站(2號出口),25,1,大同區,2023-05-27 13:49:15,捷運民權西路站(2號出口)西側,24,1
188,YouBike2.0_朝陽公園,10,0,大同區,2023-05-27 13:57:14,重慶北路二段62-1號旁,10,1
190,YouBike2.0_大龍公園,18,3,大同區,2023-05-27 13:56:15,大龍街217號對側,15,1
194,YouBike2.0_重慶民族路口,20,3,大同區,2023-05-27 13:46:15,重慶北路三段162號前,16,1
195,YouBike2.0_承德路三段8巷口,16,3,大同區,2023-05-27 13:52:15,承德路三段14號前,13,1
198,YouBike2.0_聯合醫院中興院區,27,2,大同區,2023-05-27 13:54:15,長安西路299號(對面),25,1
201,YouBike2.0_大同運動中心,16,0,大同區,2023-05-27 13:54:04,大龍街51號(旁),16,1
209,YouBike2.0_太原五原路口,24,1,大同區,2023-05-27 13:53:04,太原路 / 五原路口(東南側),23,1
211,YouBike2.0_捷運民權西路站(3號出口),50,1,大同區,2023-05-27 13:57:14,民權西路70巷37號對面,49,1
213,YouBike2.0_重慶長安路口,15,1,大同區,2023-05-27 13:53:15,長安西路244號(重慶路側),14,1
222,YouBike2.0_延平涼州街口,14,3,大同區,2023-05-27 13:49:15,延平北路二段/涼州街口(行人天橋下),11,1
223,YouBike2.0_劍潭抽水站,17,2,士林區,2023-05-27 13:52:15,通河東街325巷/通河東街口,11,1
226,YouBike2.0_百齡國小,50,1,士林區,2023-05-27 13:55:23,前港街104號(對面),49,1
227,YouBike2.0_雨聲街165巷口,15,1,士林區,2023-05-27 13:38:03,雨聲街/雨聲街165巷(西北側),14,1
228,YouBike2.0_天和公園,13,2,士林區,2023-05-27 13:56:15,天母東路69巷30號(前方路側),8,1
231,YouBike2.0_臺北市立大學(天母校區),23,3,士林區,2023-05-27 13:45:15,士東路276號至280號對面人行道,20,1
236,YouBike2.0_明勝公園,14,1,士林區,2023-05-27 13:21:17,承德路4段6巷71號(對面),11,1
237,YouBike2.0_劍潭海外青年活動中心,23,2,士林區,2023-05-27 13:57:14,中山北路4段/通河街口,21,1
240,YouBike2.0_忠誠公園,14,3,士林區,2023-05-27 13:57:14,忠誠路一段18號(對面),9,1
244,YouBike2.0_前港公園(福德宮),18,2,士林區,2023-05-27 13:49:15,後港街134巷/後港街口,16,1
246,YouBike2.0_前港公園(前港街),19,0,士林區,2023-05-27 13:55:11,前港街48號(對面),19,1
253,YouBike2.0_福林國小,14,3,士林區,2023-05-27 13:56:15,福志路50號(對面),10,1
259,YouBike2.0_華聲公園,27,0,士林區,2023-02-03 10:09:04,華聲街17號(南側路側),27,0
261,YouBike2.0_捷運士林站(2號出口),30,1,士林區,2023-05-27 13:57:04,中山北路五段505巷44弄2號(對面),27,1
262,YouBike2.0_銘傳大學,30,0,士林區,2023-05-17 23:56:05,中山北路五段250號(銘傳大學對側),29,0
265,YouBike2.0_聯合醫院陽明院區,15,0,士林區,2023-05-27 13:11:04,雨聲街105號(南側),14,1
270,YouBike2.0_梅林新村,15,2,士林區,2023-05-27 11:54:04,至善路一段/至善路一段138巷(北側),13,1
272,YouBike2.0_重慶北路四段190巷口,13,2,士林區,2023-05-27 13:12:14,重慶北路四段198號(前),11,1
273,YouBike2.0_重慶北葫東街口,15,2,士林區,2023-05-27 13:41:16,重慶北路四段177號(前),13,1
276,YouBike2.0_社正公園,15,2,士林區,2023-05-27 13:49:15,社中街39號(對面),13,1
280,YouBike2.0_社子公園,14,1,士林區,2023-05-27 13:53:15,永平街20巷37弄/永平街20巷11弄(社子公園南側),13,1
282,YouBike2.0_泰北高中,16,3,士林區,2023-05-27 13:57:14,福林路240號(前),13,1
283,YouBike2.0_後港公園,15,1,士林區,2023-05-27 13:32:14,通河東街二段26號(旁公園),14,1
286,YouBike2.0_延平北路八段133巷口,15,3,士林區,2023-05-27 06:03:14,延平北路八段133巷42號(對面),12,1
289,YouBike2.0_福安國中,11,3,士林區,2023-05-27 12:35:15,延平北路七段250號(前),8,1
291,YouBike2.0_聖山綠地,15,0,士林區,2023-05-27 13:57:14,忠義街94號(旁),15,1
294,YouBike2.0_蘭雅國小,27,3,士林區,2023-05-27 13:51:15,礦溪街與中山北路六段195巷口,23,1
297,YouBike2.0_至善臨溪路口,22,2,士林區,2023-05-27 13:53:15,至善路一段/臨溪路(西南側),20,1
302,YouBike2.0_通河街76巷/承德路四段10巷口,14,3,士林區,2023-05-27 13:54:15,承德路四段10巷37號(旁),10,1
303,YouBike2.0_芝山聖佑宮,15,3,士林區,2023-05-27 13:39:14,雨聲街90號旁,10,1
304,YouBike2.0_至誠雨聲街口,9,3,士林區,2023-05-27 13:49:15,至誠路二段與雨聲街口東北側,5,1
306,YouBike2.0_天母公園,12,2,士林區,2023-05-27 13:55:23,中山北路七段141巷30號對側,10,1
307,YouBike2.0_基河文林路口,16,3,士林區,2023-05-27 13:30:39,基河路3-1號對側人行道,13,1
308,YouBike2.0_文林福華路口,19,3,士林區,2023-05-27 13:57:14,文林路 / 福華路口(東側),15,1
311,YouBike2.0_捷運劍潭站(1號出口),70,0,士林區,2023-05-27 13:55:11,捷運劍潭站(1號出口)北側,70,1
314,YouBike2.0_葫蘆國小(延平北路五段285巷),15,1,士林區,2023-05-27 11:34:15,環河北路三段/延平北路五段285巷,14,1
315,YouBike2.0_社子市場,15,3,士林區,2023-05-27 13:57:14,延平北路六段67號旁,12,1
318,YouBike2.0_文林路101巷口,7,3,士林區,2023-05-27 13:50:20,文林路100號前,4,1
319,YouBike2.0_延平北路五段257巷15弄口,13,2,士林區,2023-05-27 13:48:15,葫蘆街184號對側,11,1
333,YouBike2.0_美崙公園,13,0,士林區,2023-05-27 13:55:11,美崙街118號斜對面人行道,13,1
334,YouBike2.0_臺北市立大學(忠誠路二段207巷),17,1,士林區,2023-05-27 13:49:15,忠誠路二段207巷/士東路299巷口,16,1
336,YouBike2.0_美崙公園(東北側),15,1,士林區,2023-05-27 13:28:04,文林路587巷115號對側,14,1
338,YouBike2.0_捷運萬隆站(4號出口),21,1,文山區,2023-05-27 13:56:15,羅斯福路5段210號(前),20,1
339,YouBike2.0_捷運萬隆站(1號出口),34,1,文山區,2023-05-27 13:52:04,羅斯福路五段250號(前),33,1
340,YouBike2.0_萬和二號公園,26,3,文山區,2023-05-27 13:41:16,萬隆街255號(對面),23,1
347,YouBike2.0_興福國中,25,1,文山區,2023-05-27 13:57:04,福興路95巷/福興路63巷4弄口,23,1
349,YouBike2.0_景美運動公園,11,3,文山區,2023-05-27 13:47:14,景豐街79號(旁公園),7,1
350,YouBike2.0_景美醫院,18,1,文山區,2023-05-27 13:52:15,羅斯福路六段280號(前),17,1
354,YouBike2.0_國立政治大學,35,3,文山區,2023-05-27 13:10:21,指南路二段153號(對面),32,1
355,YouBike2.0_捷運動物園站,18,3,文山區,2023-05-27 13:46:15,新光路二段30號(對面),14,1
357,YouBike2.0_捷運萬芳社區站,31,0,文山區,2023-05-27 12:14:04,萬芳路60號(西側廣場),31,1
370,YouBike2.0_老泉街籃球場,14,2,文山區,2023-05-27 13:24:14,老泉街26巷老泉街口(籃球場前),12,1
372,YouBike2.0_木柵公園,25,0,文山區,2023-05-27 13:52:04,興隆路四段50號(前),25,1
377,YouBike2.0_指南路3段2巷,13,0,文山區,2023-05-27 12:12:04,指南路三段4號(旁),13,1
378,YouBike2.0_萊茵公園,14,2,文山區,2023-05-27 12:34:13,忠順街二段87巷25弄29號,12,1
380,YouBike2.0_秀明路一段185巷口,20,2,文山區,2023-05-27 13:43:14,秀明路一段與秀明路一段185巷口,18,1
381,YouBike2.0_秀明路一段129巷口,22,1,文山區,2023-05-27 13:42:04,秀明路一段129巷與秀明路一段路口,21,1
382,YouBike2.0_恆光橋(老泉街),13,2,文山區,2023-05-27 12:51:15,老泉街/恆光街口,11,1
383,YouBike2.0_萬有3號公園,14,0,文山區,2023-05-27 13:52:04,景隆街105號(對面),14,1
385,YouBike2.0_興得閱覽室,24,1,文山區,2023-05-27 13:51:15,興隆路三段304巷145號,20,1
387,YouBike2.0_博嘉運動公園,12,1,文山區,2023-05-27 12:50:08,木柵路四段159巷16號,11,1
390,YouBike2.0_政大一街口,14,0,文山區,2023-05-27 12:44:04,政大一街19號對側,13,1
391,YouBike2.0_文山第二行政中心,30,1,文山區,2023-05-27 13:56:15,興隆路二段160-1號前,29,1
393,YouBike2.0_海巡署(南側),10,2,文山區,2023-05-27 13:52:15,興隆路三段211號對側(公車亭後),8,1
394,YouBike2.0_明道國小東南側,18,2,文山區,2023-05-27 13:06:16,興隆路四段109巷116號對側,16,1
397,YouBike2.0_師範大學公館校區_1,25,2,文山區,2023-05-27 13:46:15,師大公館校區校門口(汀州路側),23,1
398,YouBike2.0_捷運動物園站(2號出口),39,2,文山區,2023-05-27 13:55:23,新光路二段28號前,36,1
399,YouBike2.0_政大水岸電梯,10,2,文山區,2023-05-27 13:35:14,政治大學水岸電梯旁,8,1
400,YouBike2.0_敦南山林,14,1,文山區,2023-05-27 13:56:15,木柵路四段159巷16弄(社區出入口對側),13,1
401,YouBike2.0_辛亥路五段73巷口,13,0,文山區,2023-05-27 13:57:04,辛亥路五段75-1號前人行道,13,1
402,YouBike2.0_景美污水抽水站,15,2,文山區,2023-05-27 13:57:14,汀州路四段10號北側人行道,13,1
403,YouBike2.0_萬和三號公園(北側),13,1,文山區,2023-05-27 13:45:15,溪洲街107巷(公園北側),10,1
404,YouBike2.0_景興國中,10,3,文山區,2023-05-27 13:55:23,三福街4巷與景興路46巷口,7,1
406,YouBike2.0_師大公館校區學二舍,40,3,文山區,2023-05-27 13:50:20,臺灣師範大學學二舍西側人行道,35,1
408,YouBike2.0_萬興國小,16,2,文山區,2023-05-27 13:52:15,秀明路二段114號公車亭旁,14,1
409,YouBike2.0_辛亥路四段77巷口,14,2,文山區,2023-05-27 13:42:14,辛亥路四段77巷口,12,1
410,YouBike2.0_景興路42巷口,12,1,文山區,2023-05-27 13:55:23,景興路42巷與景興路口西南側,11,1
412,YouBike2.0_木柵路二段109巷,15,1,文山區,2023-05-27 12:30:33,木柵路二段109巷14號旁,14,1
414,YouBike2.0_萬美萬安街口,16,0,文山區,2023-05-27 13:11:04,萬美街一段/萬安街口,16,1
416,YouBike2.0_新光秀明路口,15,0,文山區,2023-05-27 13:32:04,新光路一段145號前,14,1
419,YouBike2.0_捷運公館站(1號出口),12,2,中正區,2023-05-27 13:57:15,羅斯福路四段68號,10,1
420,YouBike2.0_捷運公館站(4號出口),12,2,中正區,2023-05-27 13:47:14,羅斯福路四段48號,10,1
423,YouBike2.0_捷運臺電大樓站(1號出口),34,3,中正區,2023-05-27 13:55:23,辛亥路一段/羅斯福路三段南側,27,1
424,YouBike2.0_客家文化主題公園,15,2,中正區,2023-05-27 13:44:17,師大路/金門街11巷口對側人行道,13,1
425,YouBike2.0_河堤國小,27,2,中正區,2023-05-27 13:49:15,汀洲路二段182巷內186號旁,24,1
429,YouBike2.0_羅斯福三段金門街口,15,1,中正區,2023-05-27 13:56:04,羅斯福路三段2號前,13,1
432,YouBike2.0_捷運古亭站(7號出口),12,1,中正區,2023-05-27 13:56:16,羅斯福路二段44號前方,10,1
434,YouBike2.0_和平重慶路口,46,3,中正區,2023-05-27 13:57:15,和平西路一段/福州街口東側,40,1
436,YouBike2.0_羅斯福路二段6巷口,14,3,中正區,2023-05-27 13:53:15,羅斯福路二段/羅斯福路二段6巷口,11,1
437,YouBike2.0_金華杭州南路口,21,1,中正區,2023-05-27 13:56:04,金華街口/杭州南路二段西北側,20,1
441,YouBike2.0_螢橋國小,32,0,中正區,2023-05-27 13:57:04,泉州街32號對面人行道,32,1
444,YouBike2.0_中華路二段409巷口,15,2,中正區,2023-05-27 13:35:14,中華路二段403號前,13,1
446,YouBike2.0_南海和平路口西南側,19,2,中正區,2023-05-27 13:55:23,南海路與和平西路二段西南側,17,1
447,YouBike2.0_莒光和平路口,20,3,中正區,2023-05-27 13:56:16,莒光路2號前,17,1
449,YouBike2.0_南門國中,29,0,中正區,2023-05-27 13:55:11,廣州街8巷/廣州街口東南側,27,1
455,YouBike2.0_濟南紹興路口,39,1,中正區,2023-05-27 13:57:15,濟南紹興路口東南側,38,1
468,YouBike2.0_聯合醫院和平院區,32,2,中正區,2023-05-27 13:57:15,中華路二段33號旁,30,1
471,YouBike2.0_中華路一段21巷口,22,2,中正區,2023-05-27 13:52:15,中華路一段11號(斜前方),20,1
478,YouBike2.0_莒光大埔街口,32,2,中正區,2023-05-27 13:53:15,莒光路/大埔街口(東北側),29,1
479,YouBike2.0_捷運忠孝新生站(2號出口),32,3,中正區,2023-05-27 13:57:15,忠孝東路二段132號(東側),28,1
482,YouBike2.0_捷運中正紀念堂站(5號出口),29,1,中正區,2023-05-27 13:57:15,捷運中正紀念堂站(5號出口)西側,27,1
483,YouBike2.0_北平東杭州北路口,20,1,中正區,2023-05-27 13:55:23,北平東路/杭州北路口(東北側),19,1
484,YouBike2.0_王貫英先生紀念圖書館,15,2,中正區,2023-05-27 13:46:15,汀州路二段265號,13,1
485,YouBike2.0_金山信義路口,25,0,中正區,2023-05-27 13:55:11,金山南路一段148號前側,24,1
487,YouBike2.0_徐州杭州路口,19,0,中正區,2023-05-27 13:40:10,徐州路/杭州南路一段口(西北側),19,1
489,YouBike2.0_捷運臺北車站(M2出口),20,0,中正區,2023-05-27 13:42:04,市民大道一段168號旁,20,1
490,YouBike2.0_臺北市國父史蹟館(逸仙公園),31,3,中正區,2023-05-27 13:57:15,中山北路一段46號北側,28,1
492,YouBike2.0_弘道國中,18,0,中正區,2023-05-27 13:39:04,公園路21號西北側,17,1
494,YouBike2.0_台北市替代役中心,15,1,中正區,2023-05-27 13:50:20,汀州路三段8號前,14,1
495,YouBike2.0_紹興徐州路口,18,2,中正區,2023-05-27 13:53:15,紹興南街/徐州路(東南側),16,1
500,YouBike2.0_仁愛金山路口,9,0,中正區,2023-05-27 13:14:04,仁愛路二段31號前,9,1
501,YouBike2.0_杭州南路一段101巷口,14,2,中正區,2023-05-27 13:56:16,金山南路一段72號前,12,1
502,YouBike2.0_仁愛杭州路口,15,3,中正區,2023-05-27 13:57:15,仁愛路一段59號旁,10,1
506,YouBike2.0_林森北平路口,20,1,中正區,2023-05-27 13:25:15,林森北路與北平東路口西北側,18,1
508,YouBike2.0_天津北平路口,15,2,中正區,2023-05-27 13:53:15,天津街1號對側人行道,13,1
509,YouBike2.0_捷運忠孝新生站(1號出口),19,2,中正區,2023-05-27 13:57:15,捷運忠孝新生站(1號出口)後方,17,1
510,YouBike2.0_捷運忠孝新生站(5號出口),13,3,中正區,2023-05-27 13:54:15,新生南路一段56號前方,10,1
514,YouBike2.0_仁愛紹興街口(南側),17,3,中正區,2023-05-27 13:49:15,仁愛路一段/紹興南街口(南側),14,1
517,YouBike2.0_捷運善導寺站(3號出口)(忠孝東路側),17,3,中正區,2023-05-27 13:55:23,忠孝東路一段/林森南路口,13,1
520,YouBike2.0_濟南路二段8巷口,15,3,中正區,2023-05-27 13:53:15,濟南路二段6-1號對側,12,1
521,YouBike2.0_仁愛金山路口(東南側),14,0,中正區,2023-05-27 13:54:04,仁愛路二段48-4號前,14,1
522,YouBike2.0_臺灣文學基地,15,3,中正區,2023-05-27 13:52:15,齊東街53巷10號,12,1
523,YouBike2.0_重慶南詔安街口,15,1,中正區,2023-05-27 13:30:39,重慶南路三段/詔安街,14,1
525,YouBike2.0_捷運中正紀念堂站(2號出口),12,1,中正區,2023-05-27 13:55:23,羅斯福路一段10號前,11,1
526,YouBike2.0_螢圃里小公園,19,1,中正區,2023-05-27 13:52:04,汀州路二段135號對側,17,1
527,YouBike2.0_螢橋公園,15,0,中正區,2023-05-27 13:39:04,和平西路一段110號旁,13,1
530,YouBike2.0_樂群二堤頂大道口,20,0,中山區,2023-05-27 13:55:11,堤頂大道二段382號(旁),19,1
531,YouBike2.0_劍潭社區,13,0,中山區,2023-05-27 09:55:11,通北街146巷2弄2號(對面公園),13,1
533,YouBike2.0_樂群二明水路口,20,3,中山區,2023-05-27 13:50:20,樂群二路/明水路口(東北側),17,1
536,YouBike2.0_樂群二敬業三路口,20,0,中山區,2023-05-27 13:40:10,敬業三路155號(前),20,1
537,YouBike2.0_樂群二敬業四路口,36,0,中山區,2023-05-27 13:42:04,樂群二路186號,36,1
538,YouBike2.0_捷運大直站(3號出口),34,2,中山區,2023-05-27 13:55:23,北安路536號(旁),32,1
539,YouBike2.0_復興市民路口,45,2,中山區,2023-05-27 13:57:15,復興南路一段36-9號前人行道,43,1
545,YouBike2.0_一江公園,22,3,中山區,2023-05-27 13:28:14,一江街/松江路132巷口(西北側),19,1
547,YouBike2.0_新生長春路口,20,2,中山區,2023-05-27 13:50:20,新生北路二段/新生北路二段68巷交叉口(新生橋下),17,1
549,YouBike2.0_民生建國路口,26,0,中山區,2023-05-27 13:44:06,民生東路三段 / 建國北路二段口,26,1
552,YouBike2.0_龍江錦州街口,16,2,中山區,2023-05-27 13:49:15,龍江路287號前方,13,1
556,YouBike2.0_朱崙商場,31,1,中山區,2023-05-27 13:56:16,龍江路15號前,29,1
557,YouBike2.0_中吉公園,15,2,中山區,2023-05-27 13:34:14,松江路170巷20號對側,13,1
564,YouBike2.0_林森農安街口,17,0,中山區,2023-05-27 13:57:15,林森北路582號(前),17,1
565,YouBike2.0_捷運中山國小站(4號出口),20,1,中山區,2023-05-27 13:57:04,民權東路一段/民權東路一段71巷口,19,1
566,YouBike2.0_農安雙城街口,15,2,中山區,2023-05-27 13:49:15,農安街12-1號前方,13,1
567,YouBike2.0_新生德惠街口,15,1,中山區,2023-05-27 13:57:15,新生北路三段76號對側,14,1
568,YouBike2.0_民族林森路口,20,0,中山區,2023-05-27 13:51:04,民族東路17號前,18,1
573,YouBike2.0_仁德公園,18,0,中山區,2023-04-17 00:35:05,吉林路108巷與南京東路二段21巷口東南側,18,0
576,YouBike2.0_五常國中,16,0,中山區,2023-05-27 13:51:04,復興北路488巷2弄5號對側,15,1
577,YouBike2.0_榮星花園,38,2,中山區,2023-05-27 13:53:15,五常街77號對側,33,1
