,sna,tot,sbi,sarea,mday,ar,bemp,act
679,YouBike2.0_文德三號公園(江南街71巷16弄),15,2,內湖區,2023-05-27 14:11:04,瑞光路271號東南側,13,1
681,YouBike2.0_康寧星雲街口,12,3,內湖區,2023-05-27 14:08:15,康寧路一段116號,9,1
682,YouBike2.0_星雲街47號,15,1,內湖區,2023-05-27 14:10:20,星雲街47號南側,14,1
684,YouBike2.0_捷運西湖站(2號出口),12,1,內湖區,2023-05-27 14:21:15,內湖路一段291號(對面),11,1
692,YouBike2.0_陽光公園,16,4,內湖區,2023-05-27 14:22:15,陽光街與文德路220巷口西側,12,1
693,YouBike2.0_文德二號公園(南側),13,1,內湖區,2023-05-27 13:56:04,陽光街與陽光街68巷102弄口,12,1
695,YouBike2.0_瑞陽公園,12,1,內湖區,2023-05-27 14:04:19,文德路22巷6號(對面),11,1
699,YouBike2.0_潭美國小(南京舊宗路口),16,1,內湖區,2023-05-27 13:58:04,行善路179號南側,15,1
700,YouBike2.0_新明路343號,10,1,內湖區,2023-05-27 14:01:16,新明路341號北側,9,1
701,YouBike2.0_週美里活動廣場,17,4,內湖區,2023-05-27 14:04:19,潭美街139號對側,13,1
704,YouBike2.0_安康路32巷24弄,21,1,內湖區,2023-05-27 13:59:15,安康路32巷24弄22號,20,1
705,YouBike2.0_明美公園,18,4,內湖區,2023-05-27 14:10:20,石潭路27號南側,14,1
709,YouBike2.0_瑞光公共住宅(瑞光路),18,0,內湖區,2023-05-27 12:23:04,瑞光路160號,18,1
710,YouBike2.0_民權東路六段15巷,17,1,內湖區,2023-05-27 01:11:15,民權東路六段15巷29號,16,1
711,YouBike2.0_扶輪親恩公園,17,0,內湖區,2023-05-27 13:54:04,民權東路六段30號,16,1
715,YouBike2.0_三軍總醫院,14,4,內湖區,2023-05-27 14:09:14,成功路二段424號(對面),10,1
716,YouBike2.0_福華商場,20,0,內湖區,2023-05-27 13:56:04,民權東路六段/民權東路六段180巷(西南側),20,1
717,YouBike2.0_臺北市網球中心,16,4,內湖區,2023-05-27 14:19:15,民權東路六段208號(前),12,1
720,YouBike2.0_金湖路347巷125弄口,15,0,內湖區,2023-05-27 13:41:04,金湖路347巷125弄1號(對面),15,1
723,YouBike2.0_貿七社區,17,1,內湖區,2023-05-27 13:56:16,內湖路二段179巷48弄17號(旁),16,1
726,YouBike2.0_康寧金湖路口,14,0,內湖區,2023-05-27 12:48:04,康寧路一段273號(對面),14,1
727,YouBike2.0_康寧路一段156巷20弄口,17,0,內湖區,2023-05-27 14:17:24,康寧路一段156巷/康寧路一段156巷20弄(西側),17,1
730,YouBike2.0_內溝溪生態展示館,8,3,內湖區,2023-05-27 13:54:15,康樂街236-3號(前),5,1
731,YouBike2.0_捷運港墘站(2號出口),47,0,內湖區,2023-05-27 14:15:04,內湖路一段520號,45,1
735,YouBike2.0_康寧公園(北側),20,4,內湖區,2023-05-27 14:11:15,康寧路三段60號南側,16,1
739,YouBike2.0_下灣公園,16,2,內湖區,2023-05-27 14:22:15,民權東路六段206巷/民權東路六段190巷75弄(西北側),14,1
745,YouBike2.0_金龍公園,15,2,內湖區,2023-05-27 14:01:16,金龍路112巷口(金龍公園側),13,1
746,YouBike2.0_星雲街138巷1弄口,15,4,內湖區,2023-05-27 14:17:34,星雲街138巷18號,10,1
747,YouBike2.0_東湖一號公園,10,0,內湖區,2023-05-27 12:50:08,康寧路三段189巷163弄13號東南側,10,1
748,YouBike2.0_東湖二號公園,15,0,內湖區,2023-05-27 13:55:11,康寧路三段99巷39弄70號東南側,14,1
749,YouBike2.0_康湖二號公園(康寧醫院),16,3,內湖區,2023-05-27 14:05:16,成功路五段420巷17號東側,11,1
750,YouBike2.0_堤頂大道新湖一路口,13,0,內湖區,2023-05-27 12:07:04,堤頂大道一段215號前,12,1
752,YouBike2.0_舊宗行善路口,9,1,內湖區,2023-05-27 14:21:15,行善路179號西側,8,1
755,YouBike2.0_金湖星雲街口,30,0,內湖區,2023-05-27 13:17:22,金湖路83號對側,30,1
756,YouBike2.0_國防醫學院,15,1,內湖區,2023-05-27 14:09:14,民權東路六段161號前側,14,1
757,YouBike2.0_民權東路六段190巷117弄口,15,3,內湖區,2023-05-27 13:47:14,民權東路六段190巷117弄15號對側,12,1
759,YouBike2.0_九華公園,16,1,內湖區,2023-05-27 14:22:15,文湖街21巷68弄25-6號北側,15,1
760,YouBike2.0_內湖路二段179巷口,16,4,內湖區,2023-05-27 14:10:20,內湖路二段179巷242號對側,11,1
761,YouBike2.0_行善行愛路口,12,0,內湖區,2023-05-27 11:35:05,行善路243號(前),12,1
764,YouBike2.0_陽光街161巷口,16,4,內湖區,2023-05-27 13:41:16,陽光街161巷14號對側,11,1
765,YouBike2.0_潭美公園(南京東路六段368巷),18,3,內湖區,2023-05-27 13:24:14,南京東路六段366號對側,14,1
767,YouBike2.0_三民國中(民權東路六段47巷),13,4,內湖區,2023-05-27 14:16:16,民權東路六段47巷6號對側,9,1
768,YouBike2.0_瑞光路76巷口,12,1,內湖區,2023-05-27 08:01:04,瑞光路102號前,11,1
770,YouBike2.0_新湖國小,12,3,內湖區,2023-05-27 14:22:15,民權東路六段/成功路二段320巷31弄(東南側),9,1
771,YouBike2.0_碧山內湖路口,16,1,內湖區,2023-05-27 14:21:04,內湖路三段72巷15號西側,15,1
772,YouBike2.0_民權東路六段413巷,16,2,內湖區,2023-05-27 14:18:13,民權東路六段409號前,14,1
773,YouBike2.0_宏匯瑞光廣場(瑞光路),16,3,內湖區,2023-05-27 14:21:15,瑞光路353號前(瑞光路側人行道),13,1
776,YouBike2.0_內湖路一段360巷,15,0,內湖區,2023-05-27 14:05:05,內湖路一段358號,15,1
777,YouBike2.0_成功路三段83號前,11,0,內湖區,2023-05-27 13:59:05,成功路三段83號前,11,1
778,YouBike2.0_內湖路一段47巷,16,1,內湖區,2023-05-27 14:15:04,內湖路一段47巷/內湖路一段47巷22弄,15,1
779,YouBike2.0_陽光舊宗路口,20,4,內湖區,2023-05-27 13:53:15,陽光街/舊宗路二段,16,1
780,YouBike2.0_安湖公園,8,0,內湖區,2023-05-27 09:32:04,東湖路113巷95弄/康寧路三段75巷,8,1
782,YouBike2.0_安泰街(康樂橋下),15,3,內湖區,2023-05-27 12:10:19,安泰街(康樂橋下),12,1
783,YouBike2.0_康樂綠地,15,3,內湖區,2023-05-27 14:08:15,康樂街191巷/康樂街,12,1
784,YouBike2.0_捷運港墘站(1號出口),23,2,內湖區,2023-05-27 14:13:15,內湖路一段663號前,21,1
785,YouBike2.0_明美公園(行善路333巷),16,0,內湖區,2023-05-27 13:53:04,行善路333巷92號前,16,1
786,YouBike2.0_行善路383巷,17,1,內湖區,2023-05-27 14:13:15,行善路383巷27號對側,15,1
789,YouBike2.0_內湖路三段326巷口,15,2,內湖區,2023-05-27 13:52:04,內湖路三段326巷/內湖路三段,13,1
790,YouBike2.0_成功公園,11,3,內湖區,2023-05-27 13:26:19,成功路四段223巷/成功路四段223巷6弄,8,1
791,YouBike2.0_康寧路三段189巷93弄口,14,0,內湖區,2023-05-27 13:48:04,康寧路三段189巷/康寧路三段189巷93弄,13,1
792,YouBike2.0_中國醫藥大學附設醫院臺北分院,13,2,內湖區,2023-05-27 14:13:15,內湖路二段368號對側,9,1
793,YouBike2.0_康樂抽水站,15,4,內湖區,2023-05-27 13:49:15,東湖路160巷23號,11,1
794,YouBike2.0_環山路三段16巷口,13,4,內湖區,2023-05-27 13:30:39,環山路三段/環山路三段16巷口(東南側),9,1
797,YouBike2.0_行善社會住宅,23,3,內湖區,2023-05-27 13:03:15,行愛路與新湖一路口西南側,20,1
798,YouBike2.0_康寧路三段99巷17弄口,15,1,內湖區,2023-05-27 14:08:04,康寧路三段99巷19號對側,14,1
799,YouBike2.0_堤頂大道二段407巷口,15,1,內湖區,2023-05-27 13:37:04,堤頂大道二段405號前,14,1
800,YouBike2.0_海德堡科技大樓,12,2,內湖區,2023-05-27 10:03:15,堤頂大道二段473號前,9,1
801,YouBike2.0_致伸科技大樓,17,1,內湖區,2023-05-27 12:38:14,瑞光路669號旁,16,1
802,YouBike2.0_內湖路一段288巷口,20,1,內湖區,2023-05-27 11:22:15,內湖路一段290號前,19,1
803,YouBike2.0_大都會客運內湖站,15,0,內湖區,2023-05-27 10:25:05,民權東路六段11巷25號對側,15,1
804,YouBike2.0_瑞湖公園,15,1,內湖區,2023-05-27 10:44:04,民權東路六段15巷/民權東路六段19巷,14,1
805,YouBike2.0_台灣世曦大樓,16,0,內湖區,2023-05-27 14:22:15,陽光街323號,15,1
807,YouBike2.0_瑞光路358巷口,14,3,內湖區,2023-05-27 10:48:14,瑞光路/瑞光路358巷,11,1
810,YouBike2.0_民權東路六段56巷口,15,4,內湖區,2023-05-27 13:18:14,民權東路六段56巷7號對側,10,1
811,YouBike2.0_新湖三行忠路72巷口,15,1,內湖區,2023-05-27 07:39:04,新湖三路/行忠路72巷,13,1
812,YouBike2.0_新湖三新湖二146巷口,15,0,內湖區,2023-05-27 13:25:05,新湖三路122、124號對側,15,1
815,YouBike2.0_內湖路一段120巷15弄,19,3,內湖區,2023-05-27 06:54:14,內湖路一段120巷15弄8號對側,16,1
816,YouBike2.0_北勢湖環保公園(堤頂大道側),14,1,內湖區,2023-05-27 12:09:04,堤頂大道二段501號前,13,1
817,YouBike2.0_達爾文大樓,15,4,內湖區,2023-05-27 14:15:15,洲子街61號,11,1
829,YouBike2.0_捷運關渡站(2號出口),14,0,北投區,2023-05-27 14:21:15,捷運關渡站2號出口外人行道,14,1
830,YouBike2.0_中央北路四段540巷口,19,3,北投區,2023-05-27 14:21:15,中央北路四段529號(對面),16,1
834,YouBike2.0_豐年公園,20,0,北投區,2023-05-27 14:08:04,大業路529號(對面),20,1
835,YouBike2.0_稻香重三路口,15,4,北投區,2023-05-27 13:57:15,稻香重三路口(對面路側),8,1
836,YouBike2.0_國防大學政治作戰學院,30,0,北投區,2023-05-27 14:19:04,中央北路二段167號(對面),28,1
849,YouBike2.0_陽明大學,30,4,北投區,2023-05-27 14:21:15,東華街二段136號(對面),25,1
859,YouBike2.0_榮富公園,13,0,北投區,2023-05-27 14:03:05,榮華三路2號(旁),13,1
865,YouBike2.0_復興公園,14,0,北投區,2023-05-27 13:55:11,中和街61號對側,14,1
867,YouBike2.0_承德路七段188巷口,16,3,北投區,2023-05-27 14:03:15,承德路七段192-198號前,11,1
873,YouBike2.0_文化三杏林一路口,17,2,北投區,2023-05-27 13:59:15,杏林一路3號(旁),15,1
874,YouBike2.0_珠海復興一路口,15,0,北投區,2023-05-27 13:17:22,珠海路/復興一路口(東側),15,1
875,YouBike2.0_裕民二路33巷,15,1,北投區,2023-05-27 14:14:14,裕民二路33巷/裕民六路(西北側),14,1
876,YouBike2.0_新奇岩社會住宅,12,0,北投區,2023-05-27 14:15:04,磺港路269-271號(旁),12,1
881,YouBike2.0_福星公園,18,3,北投區,2023-05-27 11:03:15,文林北路280號(對側公園),14,1
883,YouBike2.0_豐年公園_1,18,3,北投區,2023-05-27 13:53:15,大業路539號,15,1
888,YouBike2.0_中和街493巷9弄口,16,1,北投區,2023-05-27 13:52:04,中和街493巷9弄2號對側,15,1
893,YouBike2.0_捷運忠義站(2號出口),20,1,北投區,2023-05-27 13:34:14,捷運忠義站(2號出口)無障礙坡道旁,19,1
901,YouBike2.0_鵬程公園,24,1,松山區,2023-05-27 14:21:15,健康路399號北側,23,1
905,YouBike2.0_光復北路11巷口,23,1,松山區,2023-05-27 14:16:16,光復北路13號(旁),22,1
907,YouBike2.0_西松高中,14,0,松山區,2023-05-27 13:52:04,健康路325巷5弄5號(前),13,1
908,YouBike2.0_民權復興路口,27,2,松山區,2023-05-27 14:08:15,民權東路三段119號(前),25,1
909,YouBike2.0_民福三號綠地,15,1,松山區,2023-05-27 14:13:04,民族東路712號(對面),14,1
915,YouBike2.0_捷運小巨蛋站(2號出口),26,4,松山區,2023-05-27 14:22:15,南京東路四段6號(前),22,1
917,YouBike2.0_民生國小(敦化北路199巷),20,4,松山區,2023-05-27 14:13:15,敦化北路199巷15號(旁),15,1
919,YouBike2.0_民權運動公園,21,3,松山區,2023-05-27 14:06:16,民權東路四段/新中街口(西南側),18,1
920,YouBike2.0_新東公園,36,3,松山區,2023-05-27 14:21:15,民生東路五段/塔悠路口(西南側),33,1
923,YouBike2.0_八德路三段74巷口,17,2,松山區,2023-05-27 14:17:24,八德路三段74巷95號南側,15,1
924,YouBike2.0_八德路三段8巷口,15,4,松山區,2023-05-27 14:21:15,市民大道四段123號,11,1
925,YouBike2.0_三軍總醫院(松山分院),44,0,松山區,2023-05-27 14:17:24,光復北路/光復北路190巷口(東南側),43,1
926,YouBike2.0_平安新城,16,1,松山區,2023-05-27 13:50:20,延壽街356巷/延壽街330巷16弄(東北側),15,1
927,YouBike2.0_健康社會住宅,20,4,松山區,2023-05-27 14:17:34,健康路305號(前),14,1
929,YouBike2.0_市民東興路口,25,1,松山區,2023-05-27 14:18:13,東興路33號南側,23,1
930,YouBike2.0_光復南路22巷口,29,0,松山區,2023-05-27 14:17:24,光復南路19號西側,28,1
931,YouBike2.0_光復南路58巷,12,0,松山區,2023-05-27 14:17:24,光復南路58巷11號東側,9,1
932,YouBike2.0_松山新城,14,0,松山區,2023-05-27 13:30:28,健康路78號(對面),14,1
933,YouBike2.0_內政部營建署,33,2,松山區,2023-05-27 14:17:34,八德路二段342號(前),31,1
935,YouBike2.0_民生立體停車場,20,0,松山區,2023-05-27 14:17:24,民生東路五段84號前,19,1
936,YouBike2.0_健康新城,35,4,松山區,2023-05-27 14:18:13,健康路179號前,28,1
938,YouBike2.0_復盛公園,20,2,松山區,2023-05-27 14:22:15,八德路四段106巷/八德路四段106巷6弄口(東側),17,1
939,YouBike2.0_中崙福成宮,27,2,松山區,2023-05-27 14:21:15,市民大道四段73號前,24,1
943,YouBike2.0_臺北田徑場,42,4,松山區,2023-05-27 14:22:15,敦化北路/八德路三段(東北側),37,1
944,YouBike2.0_捷運小巨蛋站(5號出口),22,3,松山區,2023-05-27 14:21:15,南京東路四段75-1號前,19,1
947,YouBike2.0_捷運松山站(2號出口),14,4,松山區,2023-05-27 14:19:15,八德路四段685號前,10,1
948,YouBike2.0_民權東路三段106巷口,22,3,松山區,2023-05-27 13:50:20,民權東路三段102號前,17,1
949,YouBike2.0_南京東路五段59巷口,11,2,松山區,2023-05-27 14:19:15,南京東路五段57號(前),9,1
950,YouBike2.0_三民公園(塔悠路),20,0,松山區,2023-05-27 13:55:12,塔悠路/撫遠街261巷(西側),20,1
952,YouBike2.0_西松公園,11,1,松山區,2023-05-27 14:17:34,健康路/南京東路五段251巷50弄(西側),9,1
953,YouBike2.0_長壽公園,15,1,松山區,2023-05-27 14:21:15,健康路174號(旁),14,1
954,YouBike2.0_復源公園,14,3,松山區,2023-05-27 14:08:15,八德路三段106巷62號(對面),9,1
956,YouBike2.0_臺北田徑場(北寧路側),24,2,松山區,2023-05-27 14:21:15,八德路三段25號前,22,1
957,YouBike2.0_西松高中(健康路325巷),31,2,松山區,2023-05-27 14:06:16,健康路325巷 / 健康路325巷12弄口(東北側),29,1
960,YouBike2.0_介壽國中,12,0,松山區,2023-05-27 14:16:04,民生東路五段36巷/光復北路165巷,11,1
963,YouBike2.0_新東街51巷口,23,3,松山區,2023-05-27 14:22:15,三民路 / 新東街51巷口(東側),20,1
964,YouBike2.0_八德立體停車場,16,1,松山區,2023-05-27 14:15:04,八德路/松信路(西南側),15,1
965,YouBike2.0_長春慶城街口,16,3,松山區,2023-05-27 14:17:34,長春路431號前,13,1
966,YouBike2.0_八德路四段652巷口,20,1,松山區,2023-05-27 13:50:20,八德路四段650號南側,19,1
967,YouBike2.0_捷運松山站(1號出口),15,2,松山區,2023-05-27 14:17:34,八德路四段711號前,11,1
968,YouBike2.0_捷運小巨蛋站(3號出口),15,1,松山區,2023-05-27 14:15:04,南京東路四段12號前,14,1
970,YouBike2.0_敦化北路155巷口,30,3,松山區,2023-05-27 14:12:15,敦化北路151號前分隔島,27,1
972,YouBike2.0_市民延吉街口,30,1,松山區,2023-05-27 14:19:04,市民大道/延吉街(市民大道橋下空地),27,1
975,YouBike2.0_塔悠基隆路口(麥帥一橋下),20,3,松山區,2023-05-27 14:22:15,南京東路五段386號前,17,1
976,YouBike2.0_五常街370巷,11,3,松山區,2023-05-27 14:02:14,五常街370巷8號,8,1
980,YouBike2.0_忠孝東路六段225巷口,35,1,南港區,2023-05-27 14:21:15,忠孝東路六段219號,34,1
982,YouBike2.0_合樂公園,15,1,南港區,2023-05-27 14:11:15,玉成街46號東側,14,1
983,YouBike2.0_合心廣場,38,2,南港區,2023-05-27 14:19:15,忠孝東路六段17號東北側,36,1
984,YouBike2.0_成德國中,26,3,南港區,2023-05-27 14:22:15,東新街118巷15號南側,22,1
988,YouBike2.0_國家生技園區,30,3,南港區,2023-05-27 14:21:15,研究院路一段130巷99號(國家生技園區),26,1
990,YouBike2.0_中研公園,40,1,南港區,2023-05-27 14:21:15,研究院路二段12巷58弄9號西側,39,1
993,YouBike2.0_凌雲市場,20,0,南港區,2023-05-27 13:56:04,研究院路三段68巷9號北側,20,1
995,YouBike2.0_捷運南港軟體園區(2號出口),34,4,南港區,2023-05-27 13:50:20,經貿二路183號(2號出口),30,1
996,YouBike2.0_南港國小,30,1,南港區,2023-05-27 14:19:15,惠民街67號東南側,29,1
997,YouBike2.0_興中立體停車場(興中路),26,1,南港區,2023-05-27 14:17:34,興中路44巷1號東側,25,1
1000,YouBike2.0_向陽南港路口,21,2,南港區,2023-05-27 14:01:16,向陽路49號北側,18,1
1004,YouBike2.0_東新國小,22,1,南港區,2023-05-27 14:19:04,東明街68號北側,20,1
1005,YouBike2.0_中華科技大學,20,4,南港區,2023-05-27 14:15:15,研究院路三段246號東側,16,1
1006,YouBike2.0_六福公園,19,2,南港區,2023-05-27 14:08:15,研究院路二段35巷23弄25號北側,17,1
1007,YouBike2.0_南港加壓站,24,4,南港區,2023-05-27 14:22:15,研究院路二段3巷1號西側,20,1
1012,YouBike2.0_忠孝東路七段527巷口,15,4,南港區,2023-05-27 13:55:23,忠孝東路七段552號,11,1
1015,YouBike2.0_凌雲五村(研究院路三段8巷),26,2,南港區,2023-05-27 13:23:15,研究院路三段10巷1號東側,24,1
1016,YouBike2.0_新新公園(昆陽街60巷),20,2,南港區,2023-05-27 14:14:14,南港路三段47巷8號南側,18,1
1017,YouBike2.0_南港高中(昆陽街),14,3,南港區,2023-05-27 13:43:14,昆陽街58號東側,10,1
1018,YouBike2.0_南港路三段290巷口,20,2,南港區,2023-05-27 13:29:14,南港路三段314巷20號,18,1
1019,YouBike2.0_南港路三段220巷口,25,2,南港區,2023-05-27 14:06:16,南港路三段133號,22,1
1022,YouBike2.0_捷運後山埤站(3號出口),12,0,南港區,2023-05-15 07:23:15,玉成街150號,12,0
1023,YouBike2.0_玉成公園運動中心,15,2,南港區,2023-05-27 14:21:15,中坡南路19號,13,1
1024,YouBike2.0_百福公園,18,3,南港區,2023-05-27 14:17:34,福德街309巷7號南側,14,1
1026,YouBike2.0_園區重陽路口,13,1,南港區,2023-05-27 14:16:04,重陽路458號西側,12,1
1028,YouBike2.0_胡適公園,20,2,南港區,2023-05-27 12:44:14,研究院路二段/研究院路二段132巷北側,18,1
1030,YouBike2.0_經貿公園,20,1,南港區,2023-05-27 13:06:16,經園街58號北側,19,1
1031,YouBike2.0_育成高中,20,1,南港區,2023-05-27 14:08:04,惠民街71號西側,19,1
1033,YouBike2.0_力行橋(南港),18,1,南港區,2023-05-27 14:13:15,研究院路一段101巷16弄2號南側,17,1
